City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,tuktoyaktuk,69.4541,-133.0374,-3.0,80,100,18.01,CA,1670093442
264,kontagora,10.3999,5.4695,28.28,25,10,0.39,NG,1670093478
265,mahebourg,-20.4081,57.7,24.16,78,40,1.54,MU,1670093478
266,gambiran,-6.7988,111.4951,23.93,91,100,1.03,ID,1670093479
267,demyansk,57.643,32.466,-4.3,81,100,4.37,RU,1670093479
268,elizabeth city,36.2946,-76.2511,19.01,82,100,3.09,US,1670093480
269,myingyan,21.4667,95.3833,22.95,68,0,0.76,MM,1670093480
270,miri,4.4148,114.0089,25.08,88,40,5.14,MY,1670093481
271,sitka,57.0531,-135.33,-2.06,86,40,2.57,US,1670093482
272,khash,28.2211,61.2158,8.88,41,0,1.86,IR,1670093232
273,bundibugyo,0.7414,30.0417,20.69,80,71,1.78,UG,1670093483
274,luohe,33.5717,114.0353,1.73,46,100,4.06,CN,1670093483
275,zhigansk,66.7697,123.3711,-30.56,97,100,4.9,RU,1670093484
276,terrell,32.736,-96.2753,13.54,42,75,5.14,US,1670093484
277,maridi,4.9158,29.4742,24.02,54,78,0.86,SS,1670093485
278,edd,13.9297,41.6925,28.11,54,3,7.13,ER,1670093486
279,aykhal,66.0,111.5,-18.63,99,100,3.27,RU,1670093486
280,torbay,47.6666,-52.7314,1.53,68,75,3.09,CA,1670093487
281,cuenca,-2.8833,-78.9833,24.07,31,40,2.06,EC,1670093488
282,nakusp,50.2499,-117.8023,-4.74,86,84,0.0,CA,1670093488
283,sao paulo de olivenca,-3.3783,-68.8725,31.78,55,100,1.26,BR,1670093489
284,hamilton,39.1834,-84.5333,8.73,52,0,8.23,US,1670093189
285,souillac,-20.5167,57.5167,24.21,78,40,1.54,MU,1670093434
286,cabedelo,-6.9811,-34.8339,29.37,70,25,6.99,BR,1670093472
287,forestville,38.8451,-76.875,17.35,84,75,7.72,US,1670093492
288,puerto ayora,-0.7393,-90.3518,24.98,86,86,4.47,EC,1670093492
289,fortuna,40.5982,-124.1573,12.97,62,0,4.47,US,1670093493
290,lorengau,-2.0226,147.2712,26.9,81,100,2.89,PG,1670093494
291,naze,28.3667,129.4833,20.51,82,100,4.7,JP,1670093258
292,talnakh,69.4865,88.3972,-22.11,99,100,1.9,RU,1670093200
293,dogondoutchi,13.6393,4.0287,29.47,19,49,3.32,NE,1670093496
294,belaya gora,68.5333,146.4167,-27.82,91,100,4.05,RU,1670093496
295,abu dhabi,24.4667,54.3667,25.06,70,20,0.0,AE,1670093039
296,jerome,42.7241,-114.5186,-1.42,66,0,12.35,US,1670093497
297,darab,28.7519,54.5444,15.03,34,0,2.4,IR,1670093498
298,kumphawapi,17.1087,103.0149,25.46,99,100,2.24,TH,1670093498
299,shintomi,32.0785,131.4723,12.7,86,100,2.65,JP,1670093499
300,zacualpan,21.25,-105.1667,28.39,58,6,3.07,MX,1670093499
301,san felipe,10.3399,-68.7425,26.68,68,100,3.21,VE,1670093500
302,hambantota,6.1241,81.1185,24.77,87,89,3.99,LK,1670093501
303,kuna,43.4918,-116.4201,-0.64,59,0,3.09,US,1670093502
304,luderitz,-26.6481,15.1594,17.11,66,8,9.92,NA,1670093502
305,georgetown,5.4112,100.3354,26.8,94,20,1.03,MY,1670093477
306,chokurdakh,70.6333,147.9167,-21.81,92,100,7.99,RU,1670093503
307,tanout,14.9709,8.8879,25.7,17,0,5.65,NE,1670093504
308,nouadhibou,20.931,-17.0347,19.99,83,0,5.14,MR,1670093504
309,tessalit,20.1986,1.0114,26.01,16,6,2.21,ML,1670093504
310,praia da vitoria,38.7333,-27.0667,14.31,82,75,15.07,PT,1670093505
311,aire-sur-la-lys,50.6387,2.3988,3.36,79,100,3.87,FR,1670093506
312,tinaquillo,9.9186,-68.3047,33.04,59,100,3.01,VE,1670093506
313,ancud,-41.8697,-73.8203,14.65,78,82,5.67,CL,1670093264
314,dongobesh,-4.0667,35.3833,16.1,75,37,5.03,TZ,1670093507
315,marystown,47.1666,-55.1483,2.13,70,70,4.01,CA,1670093508
316,fairbanks,64.8378,-147.7164,-3.81,89,100,3.09,US,1670093403
317,tarrafal,15.2833,-23.7667,25.44,60,100,3.98,CV,1670093510
318,trapani,37.8333,12.6667,16.26,94,40,5.14,IT,1670093510
319,acapulco,16.8634,-99.8901,30.12,53,17,2.66,MX,1670093225
320,cuiaba,-15.5961,-56.0967,27.96,74,40,1.54,BR,1670093331
321,hongjiang,27.11,109.9956,5.3,90,100,2.01,CN,1670093511
322,diu,20.7141,70.9822,22.31,49,5,3.55,IN,1670093512
323,norman wells,65.282,-126.8329,1.02,93,100,4.12,CA,1670093513
324,tazovskiy,67.4667,78.7,-23.65,99,39,2.35,RU,1670093513
325,parrita,9.5201,-84.3225,30.7,74,15,2.27,CR,1670093514
326,mana,5.6592,-53.7767,25.68,87,68,3.91,GF,1670093514
327,viedma,-40.8135,-62.9967,33.57,15,19,3.98,AR,1670093515
328,peleduy,59.6289,112.7406,-17.52,95,100,5.69,RU,1670093515
329,port lincoln,-34.7333,135.8667,21.5,44,98,3.84,AU,1670093516
330,bemidji,47.4736,-94.8803,-12.75,67,0,4.63,US,1670093349
331,nishihara,26.1842,127.7558,21.81,83,20,7.72,JP,1670093517
332,chapais,49.7834,-74.8492,0.88,99,100,3.17,CA,1670093488
333,mount gambier,-37.8333,140.7667,13.64,67,9,2.56,AU,1670093518
334,mae hong son,19.3003,97.9685,20.37,92,4,0.87,TH,1670093519
335,bohodukhiv,50.1647,35.5276,-3.99,49,78,6.68,UA,1670093519
336,kilindoni,-7.9139,39.6668,26.54,77,1,4.84,TZ,1670093520
337,namatanai,-3.6667,152.4333,26.16,81,100,2.33,PG,1670093070
338,maningrida,-12.0667,134.2667,27.47,73,70,2.27,AU,1670093521
339,sechura,-5.5569,-80.8222,27.22,52,86,7.4,PE,1670093521
340,lensk,60.7253,114.9278,-15.82,94,100,6.74,RU,1670093522
341,ahipara,-35.1667,173.1667,15.5,76,0,1.75,NZ,1670093487
342,moerai,-22.4333,-151.3333,24.67,85,100,6.66,PF,1670093523
343,buraydah,26.326,43.975,21.25,29,97,3.55,SA,1670093523
344,gayny,60.3071,54.3241,-12.98,95,90,1.91,RU,1670093524
345,bluefield,37.2698,-81.2223,12.08,89,100,6.17,US,1670093524
346,tateyama,34.9833,139.8667,15.6,56,100,10.0,JP,1670093525
347,svetlaya,46.5389,138.3297,-14.4,65,8,4.1,RU,1670093526
348,vardo,70.3705,31.1107,-2.01,86,100,0.51,NO,1670093527
349,yurimaguas,-5.9,-76.0833,23.09,88,100,1.54,PE,1670093527
350,mackay,-21.15,149.2,22.05,73,3,6.82,AU,1670093469
351,kurilsk,45.2333,147.8833,1.77,68,100,6.8,RU,1670093528
352,tiznit,29.5833,-9.5,14.66,71,2,1.76,MA,1670093284
353,korla,41.7597,86.1469,-6.25,36,0,0.44,CN,1670093493
354,sistranda,63.7256,8.834,-1.02,61,56,2.32,NO,1670093440
355,nelson bay,-32.7167,152.15,16.67,93,0,0.45,AU,1670093530
356,teguldet,57.3064,88.1667,-19.33,94,98,3.09,RU,1670093530
357,urgut,39.4022,67.2431,-3.21,51,96,0.09,UZ,1670093531
358,mulchen,-37.7167,-72.2333,26.92,27,77,1.69,CL,1670093264
359,kalispell,48.1958,-114.3129,-6.39,89,100,0.0,US,1670093380
360,moranbah,-22.0016,148.0466,18.78,79,0,3.64,AU,1670093533
361,faya,18.3851,42.4509,15.06,77,2,1.45,SA,1670093533
362,durres,41.3231,19.4414,12.1,68,100,3.1,AL,1670093534
363,villazon,-22.0866,-65.5942,16.9,22,74,5.85,BO,1670093534
